feature,mean_abs_shap
clean_cooking_access,5.440279
urban_population_pct,3.291074
pm25,0.91425896
hei_roll6,0.498519
pm10,0.21022955
co,0.052143358
electrification_rate,0.02368213
no2,0.01936724
log_no2_roll3,0.018544193
log_no2_roll6,0.018449493
o3,0.011396424
hei_roll3,0.010359653
log_co,0.0074072815
log_pm25_roll6,0.0045088516
log_o3,0.0023614783
log_pm25_lag1,0.0007152829
log_no2,0.0004703552
obi,0.00032210702
hei,0.00027328625
hei_lag1,0.0
log_pm25_roll3,0.0
log_no2_lag1,0.0
sas,0.0
log_pm10,0.0
log_pm25,0.0
dci,0.0
cop,0.0
