feature,mean_abs_shap
urban_population_pct,4.0238056
clean_cooking_access,3.1004004
electrification_rate,2.7001216
no2,1.4766858
co,0.8906312
log_pm25_roll3,0.17440723
log_pm25_lag1,0.07992666
pm25,0.043517526
log_pm25_roll6,0.035762805
log_no2,0.035674606
cop,0.031797595
log_no2_roll6,0.02449899
log_co,0.020815045
sas,0.017031837
pm10,0.014205554
log_no2_lag1,0.013496186
o3,0.010370227
hei_roll6,0.0102587445
log_pm25,0.010102672
hei,0.008436522
hei_lag1,0.007949471
hei_roll3,0.0064491453
log_o3,0.0050859507
log_pm10,0.00091331446
obi,0.0008431544
log_no2_roll3,0.0006006502
dci,0.00024087746
