feature,mean_abs_shap
electrification_rate,4.4234877
clean_cooking_access,2.5993116
urban_population_pct,1.9009691
pm25,0.44648966
log_no2_roll6,0.3098476
co,0.16104057
hei_roll6,0.08926319
log_no2_lag1,0.0635505
pm10,0.062594004
log_no2_roll3,0.061699707
no2,0.060181595
log_co,0.02400381
hei_roll3,0.016353624
hei,0.013971219
log_pm25_roll6,0.013925612
log_o3,0.0068564373
sas,0.006004632
o3,0.0035509455
log_pm25_roll3,0.0013523377
log_pm25_lag1,0.0010771224
dci,0.0
obi,0.0
log_no2,0.0
hei_lag1,0.0
log_pm10,0.0
log_pm25,0.0
cop,0.0
