feature,mean_abs_shap
log_no2_roll3,4.077256
log_no2_roll6,1.3630716
hei_roll6,0.9310821
electrification_rate,0.84063095
clean_cooking_access,0.2333389
urban_population_pct,0.08015501
log_no2_lag1,0.0650348
co,0.06415509
no2,0.053860225
log_co,0.023401747
hei_lag1,0.018203467
o3,0.015720928
pm25,0.012235155
hei,0.010429603
sas,0.009832075
log_pm25_roll3,0.0069638393
log_pm25_roll6,0.005747151
log_o3,0.005682199
pm10,0.0039464496
log_pm25_lag1,0.003673511
log_no2,0.0035765448
obi,0.0025444624
log_pm10,0.0013365953
hei_roll3,0.00095465034
log_pm25,0.00034244385
cop,0.0002842245
dci,0.00015511106
