country,year,month,y_true,y_pred,pm25,pm10,no2,o3,co,dci,log_pm25,log_pm10,log_no2,log_o3,log_co,hei,obi,cop,sas,log_pm25_roll3,log_pm25_roll6,log_pm25_lag1,log_no2_roll3,log_no2_roll6,log_no2_lag1,hei_roll3,hei_roll6,hei_lag1,clean_cooking_access,electrification_rate,urban_population_pct
Cambodia,2022,8,30.0,34.003223,0.94113255,0.21794233,0.01762965,0.010993422,-0.06216755,0.0,0.0,0.0,-0.0004703552,0.0022927697,-0.009158865,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018056411,0.018993901,0.0,0.011853831,0.56504434,0.0,5.7973557,0.024647787,-3.3717551
Cambodia,2022,9,30.0,34.003223,0.94113255,0.21794233,0.01762965,0.010993422,-0.031352244,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.0007066031,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018056411,0.018993901,0.0,0.011853831,0.56504434,0.0,5.777015,0.024647787,-3.3920958
Cambodia,2022,10,30.0,33.573166,0.6992496,0.12748165,0.01713655,0.011063865,-0.031352244,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.0007066031,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018554177,0.021383187,0.0,0.011853831,0.56504434,0.0,5.622004,0.024647787,-3.3362525
Cambodia,2022,11,30.0,33.573166,0.6992496,0.12748165,0.01713655,0.011908815,-0.022337364,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.00802803,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018554177,0.021383187,0.0,0.011853831,0.5564537,0.0,5.622004,0.024647787,-3.3448434
Cambodia,2022,12,30.0,34.003223,0.94113255,0.21794233,0.01762965,0.010993422,-0.031352244,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.0007066031,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018056411,0.018993901,0.0,0.011853831,0.56504434,0.0,5.777015,0.024647787,-3.3920958
Cambodia,2023,1,30.0,33.67648,0.6992496,0.21794233,0.01713655,0.011908815,-0.022337364,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.00802803,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018554177,0.021383187,0.0,0.011853831,0.5564537,0.0,5.662356,0.024647787,-3.372347
Cambodia,2023,2,30.0,30.692356,-0.94703805,-0.22900994,0.01713655,0.011908815,-0.022337364,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.00802803,-0.0002732862,0.00030123006,0.0,0.0,0.0,-0.002860726,0.0006546535,-0.018554177,0.021383187,0.0,0.011853831,0.5564537,0.0,4.634427,0.024647787,-3.235298
Cambodia,2023,3,30.0,30.692356,-0.94703805,-0.22900994,0.01713655,0.011063865,-0.031352244,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.0007066031,-0.0002732862,0.000302705,0.0,0.0,0.0,-0.004501831,0.00069152704,-0.018554177,0.021364013,0.0,0.011853831,0.56504434,0.0,4.636049,0.024647787,-3.2267075
Cambodia,2023,4,30.0,30.692356,-0.94706535,-0.22900994,0.01713655,0.011063865,-0.03259037,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.0007066031,-0.0002732862,0.00041879568,0.0,0.0,0.0,-0.004501831,0.00069152704,-0.018554177,0.021296596,0.0,-0.003386809,0.5648916,0.0,4.6365213,0.024647787,-3.2105694
Cambodia,2023,5,30.0,33.573166,0.6992496,0.12748165,0.01713655,0.011063865,-0.031352244,0.0,0.0,0.0,-0.0004703552,0.0022927697,0.0007066031,-0.0002732862,0.000302705,0.0,0.0,0.0,-0.004501831,0.00069152704,-0.018554177,0.021364013,0.0,0.011853831,0.56504434,0.0,5.623626,0.024647787,-3.3362525
