country,year,month,y_true,y_pred,pm25,pm10,no2,o3,co,dci,log_pm25,log_pm10,log_no2,log_o3,log_co,hei,obi,cop,sas,log_pm25_roll3,log_pm25_roll6,log_pm25_lag1,log_no2_roll3,log_no2_roll6,log_no2_lag1,hei_roll3,hei_roll6,hei_lag1,clean_cooking_access,electrification_rate,urban_population_pct
Thailand,2022,8,11.0,6.9738235,0.030841116,0.014286367,-0.19177628,-0.014469025,0.30898696,0.0009095984,0.010522319,-0.00034060454,-0.030869318,-0.002413093,0.029300014,-0.010401286,-0.00057987886,0.013876888,0.019109504,0.031566504,0.00461151,0.012686484,-0.00075709994,0.029136764,0.013125051,0.0048219045,0.008469906,0.0061945263,-2.7307818,-2.426681,-3.2432475
Thailand,2022,9,11.0,9.892006,0.026146166,0.008008984,2.1269636,0.0011920094,-0.6288702,0.00020156754,0.0104760295,-0.00023529847,0.049476758,0.0013139993,-0.009371957,-0.010348992,-1.494465e-05,-0.00875213,0.004421734,0.049829267,0.0044902577,0.026183994,-0.00074200897,0.02143321,0.01527898,0.0041797953,0.0062055173,0.007520007,-2.4158823,-1.3903567,-3.094437
Thailand,2022,10,11.0,11.033578,0.09825193,-0.026546752,2.1355653,0.0077255685,0.24940495,0.00019805701,-0.031238915,0.0024608304,0.051190257,0.0036005802,-0.018096112,-0.0073109167,0.00019164605,-0.016167508,0.0045089647,0.05161334,0.004794548,0.03060582,-0.00074200897,0.01506112,0.011164333,0.006114198,0.017178962,0.006430565,-2.3793807,-1.2527728,-3.0179222
Thailand,2022,11,11.0,11.0022955,0.09609455,-0.029493885,2.1313946,0.006884004,0.17784426,0.00017494797,-0.031238915,0.0024608304,0.05154574,0.0031785006,-0.015061211,-0.0070817126,0.00019164605,-0.016177122,0.0039295466,-0.16355605,0.0078007383,-0.10544066,-0.00074200897,0.015031321,0.018669542,0.005958574,0.01609352,-0.011491157,-2.3861759,-0.83938533,-3.0168068
Thailand,2022,12,11.0,11.000518,0.095784634,-0.029999504,2.1335075,0.005935545,0.17105228,0.00017494797,-0.030177573,0.0024608304,0.05154574,0.0031785006,-0.017365795,-0.007986886,0.00082291523,-0.016349014,0.017027719,-0.16285987,-0.02212255,-0.10496199,-0.0006334348,0.010309268,0.018809121,-0.0060742395,0.019035587,-0.0115985405,-2.3875487,-0.80488163,-3.0142634
Thailand,2023,1,11.0,11.330535,-0.12465363,-0.03636852,1.9006543,0.0057001594,-1.0028764,0.00017494797,-0.030177573,0.0024608304,0.05154574,0.003746537,-0.017365795,-0.007986886,0.00082291523,-0.062082417,0.0065203677,-0.73429585,-0.13213481,-0.36690557,-0.0006334348,0.010309268,0.017617818,-0.0060742395,0.019035587,-0.017018657,-2.3399882,2.117517,-3.0147028
Thailand,2023,2,11.0,11.317492,-0.124182194,-0.03585884,1.899988,0.0048684613,-1.0074674,0.00017494797,-0.028685955,0.0024608304,0.05154574,0.003746537,-0.017365795,-0.007986886,0.00082291523,-0.06231823,-0.0015652549,-0.7349022,-0.13532738,-0.36701867,-0.0006334348,0.012473173,0.018206881,-0.0060742395,0.018906966,-0.016598321,-2.340153,2.1170049,-3.0142634
Thailand,2023,3,11.0,11.319477,-0.124061555,-0.037783563,1.8886892,0.005670057,-0.99388105,0.00017494797,-0.02875821,0.0024608304,0.04998493,0.0058328393,-0.021326229,-0.008145892,0.00019164605,-0.065753914,0.001897371,-0.7345753,-0.1342088,-0.36749735,-0.00074200897,0.012452534,0.01821491,-0.0060742395,0.017984593,-0.014940395,-2.34032,2.1213248,-3.0150259
Thailand,2023,4,11.0,10.635852,0.0108365975,-0.015810633,1.9074329,0.0061217374,-1.86254,0.00020462797,0.0059590656,0.0024608304,0.049702052,0.0067699994,-0.011978389,-0.010512803,0.0001812524,-0.044943698,0.00030126132,-0.73170507,-0.13370897,-0.36732092,-0.0007205061,0.017225025,0.008047656,0.0040068715,0.017335985,-0.0070855897,-2.3778927,2.1429703,-3.0671782
Thailand,2023,5,11.0,12.593822,0.02521602,0.003372762,1.8904108,0.008572307,-1.5349059,0.00020462797,0.010428488,-0.0001509577,0.05131946,0.0054250993,-0.008409453,-0.010308139,0.0001812524,-0.04462762,-0.0008575937,-0.11187161,-0.13399753,0.096519694,-0.0007205061,0.016521158,0.015309346,0.0041390616,0.009411557,0.0143294465,-2.3746321,2.672127,-3.0968826
