country,year,month,y_true,y_pred,pm25,pm10,no2,o3,co,dci,log_pm25,log_pm10,log_no2,log_o3,log_co,hei,obi,cop,sas,log_pm25_roll3,log_pm25_roll6,log_pm25_lag1,log_no2_roll3,log_no2_roll6,log_no2_lag1,hei_roll3,hei_roll6,hei_lag1,clean_cooking_access,electrification_rate,urban_population_pct
Cambodia,2022,8,38.0,46.74565,-0.24921402,-0.038556516,-0.011814977,0.0025073146,-0.10359085,0.0,0.0,0.0,0.0,0.005001397,-0.018318608,0.008077662,0.0,0.0,0.006415195,-0.00093034585,0.013469431,0.001752465,0.0320593,-0.046598,0.15246792,-0.007037057,-0.047457635,0.0,7.258794,8.4430485,0.36064222
Cambodia,2022,9,38.0,46.583046,-0.2627141,-0.038556516,-0.10576977,0.0025073146,-0.10851575,0.0,0.0,0.0,0.0,0.005001397,-0.018318608,0.008077662,0.0,0.0,0.006415195,-0.00093034585,0.013469431,0.001752465,0.0320593,-0.09682272,0.15246792,-0.007037057,-0.047457635,0.0,7.258794,8.4430485,0.36064222
Cambodia,2022,10,38.0,46.598087,-0.2390186,-0.014098351,-0.011814977,0.0025073146,-0.10359085,0.0,0.0,0.0,0.0,0.0054522897,-0.018318608,0.008077662,0.0,0.0,0.00077219936,-0.00093034585,0.012080887,0.0005229451,0.0320593,-0.02288377,-0.015553231,-0.007037057,-0.05231384,0.0,7.2249494,8.451653,0.36064222
Cambodia,2022,11,38.0,46.722992,-0.11448681,-0.014098351,-0.0815627,0.0024624406,-0.123000495,0.0,0.0,0.0,0.0,0.005001397,-0.019974088,0.008077662,0.0,0.0,0.006415195,-0.00093034585,-0.0041417466,0.001752465,0.0320593,-0.055133205,0.14902085,-0.007037057,-0.047457635,0.0,7.16911,8.4661875,0.36579096
Cambodia,2022,12,38.0,46.410236,-0.26508397,-0.038556516,-0.10576977,0.0025073146,-0.10851575,0.0,0.0,0.0,0.0,0.0054522897,-0.018318608,0.008077662,0.0,0.0,0.00077219936,-0.00093034585,0.012080887,0.0005229451,0.0320593,-0.08053905,-0.0215856,-0.007037057,-0.05231384,0.0,7.258794,8.4430485,0.36064222
Cambodia,2023,1,38.0,31.01675,-0.7838266,-0.11783347,-0.17470697,0.0032375064,-0.23182487,0.0,0.0,0.0,0.0,0.006015822,-0.02442706,0.008077662,0.0,0.0,0.006415195,-0.00093034585,-0.009097936,0.001752465,0.0328775,-0.16871126,0.14902085,-0.01434233,-0.057150934,0.0,-3.0577908,3.6393483,0.8257201
Cambodia,2023,2,38.0,34.45026,1.1199894,0.1720958,-0.15049988,0.0032375064,-0.23182487,0.0,0.0,0.0,0.0,0.006015822,-0.02442706,0.008077662,0.0,0.0,-0.07698234,-0.00093034585,-0.0042470815,0.001752465,0.0328775,-0.12584448,0.08243951,-0.01434233,-0.057150934,0.0,-2.6803613,4.579731,0.8257201
Cambodia,2023,3,38.0,34.46164,1.1270989,0.1720958,-0.15049988,0.0032823803,-0.21528718,0.0,0.0,0.0,0.0,0.006466715,-0.021767255,0.008077662,0.0,0.0,-0.009266393,-0.00093034585,-0.00085286424,0.0005229451,0.0328775,-0.10040924,-0.0039928514,-0.01434233,-0.062007137,0.0,-2.6796951,4.5724072,0.8129253
Cambodia,2023,4,38.0,34.4843,1.0865988,0.1720958,-0.110545486,0.0032823803,-0.21036232,0.0,0.0,0.0,0.0,0.006466715,-0.021767255,0.008077662,0.0,0.0,-0.009266393,-0.00093034585,-0.00085286424,0.0005229451,0.0328775,-0.082128406,-0.0039928514,-0.01434233,-0.062007137,0.0,-2.6796951,4.5724072,0.8129253
Cambodia,2023,5,38.0,31.66842,-0.5216227,-0.048233867,-0.110545486,0.0032823803,-0.21036232,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,-0.0042470815,0.001752465,0.0328775,-0.10735398,0.14575988,-0.01434233,-0.057150934,0.0,-3.0103316,3.7732787,0.8129253
Cambodia,2023,6,38.0,31.176865,-0.7765074,-0.11783347,-0.08075218,0.0032823803,-0.21036232,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,-0.0042470815,0.001752465,0.0328775,-0.11730928,0.14920695,-0.01434233,-0.057150934,0.0,-3.0571246,3.6297114,0.8129253
Cambodia,2023,7,38.0,31.176865,-0.7765074,-0.11783347,-0.08075218,0.0032823803,-0.21036232,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,-0.0042470815,0.001752465,0.0328775,-0.11730928,0.14920695,-0.01434233,-0.057150934,0.0,-3.0571246,3.6297114,0.8129253
Cambodia,2023,8,38.0,31.052677,-0.7765074,-0.11783347,-0.116075456,0.0032823803,-0.29201406,0.0,0.0,0.0,0.0,0.006015822,-0.021767255,0.008077662,0.0,0.0,0.006415195,-0.00093034585,0.030320473,0.001752465,0.0328775,-0.16578189,0.15246792,-0.01434233,-0.057150934,0.0,-3.0536942,3.6297114,0.8129253
